0	0	0
-148	-125	5
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-12	-147	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-38	-150	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-52	-161	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-65	-172	2
0	0	0
0	0	0
0	0	0
0	0	0
-69	-184	1
0	0	0
0	0	0
0	0	0
-73	-194	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-83	-202	1
-84	-203	1
0	0	0
0	0	0
0	0	0
0	0	0
-88	-204	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-95	-205	1
0	0	0
0	0	0
0	0	0
-98	-212	1
0	0	0
0	0	0
0	0	0
-101	-216	2
0	0	0
0	0	0
0	0	0
-105	-83	5
0	0	0
0	0	0
0	0	0
0	0	0
-111	-232	1
0	0	0
0	0	0
0	0	0
-114	-242	2
0	0	0
0	0	0
0	0	0
0	0	0
-118	-248	2
0	0	0
0	0	0
-120	-268	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-126	-193	3
0	0	0
-128	-265	1
0	0	0
0	0	0
0	0	0
0	0	0
-131	-109	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-139	-215	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-146	-249	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-256	-277	1
0	0	0
0	0	0
